t_ms,ax,ay,az,steps
30069,-64,-17,-1015,1
30110,-65,-16,-1015,1
30151,-73,-12,-1020,1
30192,-64,-19,-1015,1
30233,-64,-16,-1017,1
30275,-72,-13,-1018,1
30316,-64,-19,-1015,1
30357,-66,-16,-1016,1
30398,-71,-15,-1018,1
30439,-64,-19,-1015,1
30481,-67,-15,-1017,1
30522,-64,-15,-1017,1
30563,-64,-18,-1015,1
30604,-69,-14,-1017,1
30645,-66,-16,-1017,1
30687,-65,-16,-1016,1
30728,-67,-15,-1018,1
30769,-64,-17,-1017,1
30810,-67,-16,-1017,1
30851,-64,-15,-1018,1
30892,-64,-17,-1015,1
30933,-65,-14,-1017,1
30974,-64,-15,-1017,1
31015,-66,-17,-1016,1
31056,-67,-15,-1015,1
31097,-64,-15,-1016,1
31138,-64,-17,-1016,1
31179,-67,-15,-1016,1
31220,-65,-16,-1017,1
31261,-64,-16,-1015,1
31302,-64,-14,-1019,1
31343,-67,-15,-1016,1
31384,-64,-16,-1017,1
31425,-65,-16,-1015,1
31466,-65,-15,-1017,1
31507,-70,-15,-1017,1
31548,-64,-14,-1018,1
31589,-65,-18,-1014,1
31630,-64,-18,-1015,1
31671,-64,-16,-1016,1
31712,-68,-14,-1017,1
31753,-64,-18,-1015,1
31794,-66,-14,-1016,1
31835,-67,-16,-1017,1
31876,-64,-17,-1016,1
31917,-67,-15,-1018,1
31958,-65,-16,-1016,1
31999,-64,-18,-1016,1
32040,-69,-14,-1019,1
32081,-64,-16,-1017,1
32122,-64,-17,-1015,1
32163,-65,-15,-1017,1
32204,-66,-17,-1015,1
32245,-64,-15,-1016,1
32286,-67,-15,-1017,1
32327,-64,-17,-1016,1
32369,-64,-15,-1016,1
32410,-64,-16,-1018,1
32451,-64,-17,-1015,1
32492,-67,-16,-1017,1
32533,-66,-16,-1018,1
32575,-64,-16,-1016,1
32616,-66,-15,-1017,1
32657,-66,-16,-1016,1
32698,-65,-16,-1017,1
32739,-65,-15,-1017,1
32780,-66,-15,-1017,1
32821,-64,-15,-1016,1
32862,-66,-15,-1018,1
32903,-64,-16,-1015,1
32944,-64,-15,-1015,1
32985,-66,-15,-1016,1
33026,-65,-17,-1016,1
33067,-64,-16,-1016,1
33108,-66,-16,-1017,1
33149,-66,-16,-1016,1
33190,-64,-15,-1017,1
33231,-66,-16,-1016,1
33272,-66,-16,-1017,1
33313,-64,-15,-1017,1
33354,-66,-15,-1015,1
33395,-65,-16,-1016,1
33436,-64,-16,-1017,1
33477,-64,-16,-1017,1
33518,-65,-15,-1016,1
33559,-64,-15,-1016,1
33600,-65,-16,-1017,1
33644,-64,-15,-1017,1
33685,-64,-16,-1017,1
33726,-66,-16,-1016,1
33767,-65,-15,-1017,1
33808,-64,-16,-1017,1
33849,-64,-15,-1017,1
33890,-66,-16,-1017,1
33931,-64,-17,-1016,1
33972,-66,-16,-1016,1
34013,-64,-15,-1018,1
34054,-66,-16,-1016,1
34095,-64,-15,-1017,1
34136,-67,-15,-1016,1
34177,-64,-16,-1016,1
34218,-65,-16,-1015,1
34259,-65,-16,-1017,1
34300,-66,-15,-1017,1
34341,-65,-16,-1017,1
34382,-64,-15,-1016,1
34423,-65,-16,-1016,1
34464,-66,-16,-1017,1
34505,-66,-16,-1016,1
34547,-64,-16,-1016,1
34588,-65,-16,-1016,1
34629,-66,-15,-1016,1
34670,-67,-16,-1018,1
34711,-66,-17,-1016,1
34752,-64,-15,-1017,1
34793,-66,-15,-1016,1
34834,-64,-16,-1017,1
34875,-65,-15,-1016,1
34916,-65,-16,-1017,1
34958,-65,-16,-1016,1
34998,-65,-16,-1015,1
35039,-65,-16,-1016,1
35080,-65,-16,-1017,1
35121,-66,-14,-1016,1
35162,-69,-13,-1018,1
35203,-64,-19,-1015,1
35244,-64,-15,-1016,1
35286,-67,-14,-1018,1
35327,-65,-15,-1017,1
35368,-65,-18,-1015,1
35409,-67,-13,-1019,1
35450,-67,-15,-1018,1
35494,-64,-17,-1015,1
35535,-67,-14,-1017,1
35576,-66,-17,-1016,1
35617,-64,-17,-1016,1
35658,-66,-13,-1018,1
35699,-64,-15,-1017,1
35740,-65,-16,-1015,1
35781,-66,-15,-1017,1
35822,-64,-16,-1015,1
35863,-64,-18,-1015,1
35904,-65,-11,-1018,1
35945,-69,-18,-1016,1
35986,-64,-16,-1015,1
36027,-72,-16,-1018,1
36068,-65,-14,-1017,1
36109,-64,-19,-1013,1
36150,-70,-11,-1019,1
36191,-65,-16,-1017,1
36232,-64,-18,-1014,1
36273,-71,-12,-1018,1
36314,-66,-15,-1017,1
36355,-65,-17,-1015,1
36396,-69,-13,-1018,1
36437,-64,-17,-1017,1
36478,-64,-18,-1016,1
36519,-71,-13,-1019,1
36560,-64,-16,-1016,1
36601,-65,-16,-1016,1
36642,-70,-15,-1018,1
36683,-64,-16,-1015,1
36724,-67,-16,-1017,1
36765,-66,-15,-1018,1
36806,-64,-15,-1015,1
36847,-66,-14,-1018,1
36888,-66,-15,-1016,1
36929,-65,-16,-1015,1
36970,-65,-13,-1018,1
37011,-65,-16,-1017,1
37052,-64,-16,-1015,1
37093,-64,-15,-1017,1
37134,-66,-16,-1015,1
37175,-64,-16,-1015,1
37216,-66,-15,-1016,1
37257,-64,-16,-1015,1
37298,-64,-16,-1015,1
37339,-66,-14,-1017,1
37380,-65,-15,-1017,1
37421,-64,-14,-1016,1
37462,-65,-15,-1016,1
37503,-65,-10,-1018,1
37545,-64,-16,-1015,1
37586,-64,-17,-1016,1
37627,-67,-14,-1016,1
37668,-65,-15,-1017,1
37709,-65,-15,-1015,1
37750,-67,-15,-1017,1
