t_ms,ax,ay,az,steps
15651,-16,-22,-1019,0
15692,-16,-21,-1020,0
15733,-15,-21,-1020,0
15774,-15,-22,-1019,0
15816,-16,-22,-1020,0
15857,-15,-21,-1021,0
15898,-16,-21,-1021,0
15939,-15,-22,-1019,0
15980,-16,-23,-1020,0
16021,-16,-21,-1021,0
16062,-15,-22,-1019,0
16103,-16,-21,-1019,0
16144,-16,-23,-1020,0
16185,-16,-22,-1021,0
16226,-16,-22,-1021,0
16267,-16,-22,-1021,0
16308,-16,-22,-1021,0
16349,-16,-22,-1020,0
16390,-15,-21,-1020,0
16431,-16,-22,-1020,0
16472,-15,-21,-1020,0
16513,-17,-21,-1020,0
16554,-16,-21,-1020,0
16595,-16,-22,-1020,0
16636,-16,-22,-1020,0
16677,-15,-22,-1020,0
16718,-15,-22,-1020,0
16759,-16,-22,-1019,0
16800,-15,-21,-1020,0
16841,-17,-23,-1018,0
16882,-16,-22,-1020,0
16923,-16,-21,-1020,0
16964,-15,-21,-1020,0
17005,-16,-22,-1021,0
17046,-15,-22,-1021,0
17087,-15,-21,-1020,0
17128,-16,-22,-1020,0
17169,-16,-21,-1021,0
17210,-16,-23,-1019,0
17251,-15,-21,-1019,0
17292,-16,-22,-1021,0
17334,-16,-21,-1020,0
17375,-17,-22,-1020,0
17416,-15,-22,-1020,0
17457,-16,-22,-1020,0
17498,-16,-22,-1020,0
17540,-15,-21,-1020,0
17581,-15,-22,-1020,0
17622,-15,-21,-1020,0
17663,-16,-23,-1020,0
17704,-17,-22,-1020,0
17746,-16,-22,-1020,0
17787,-15,-21,-1020,0
17828,-17,-22,-1020,0
17869,-15,-22,-1021,0
17910,-15,-22,-1020,0
17952,-15,-21,-1021,0
17993,-16,-21,-1020,0
18034,-16,-22,-1020,0
18078,-16,-22,-1019,0
18119,-15,-22,-1020,0
18161,-15,-20,-1020,0
18202,-15,-22,-1020,0
18243,-15,-22,-1020,0
18284,-16,-21,-1021,0
18325,-16,-22,-1019,0
18367,-16,-21,-1020,0
18408,-15,-21,-1020,0
18449,-16,-22,-1021,0
18490,-16,-22,-1020,0
18531,-17,-21,-1019,0
18573,-15,-21,-1021,0
18614,-15,-21,-1020,0
18655,-16,-21,-1020,0
18697,-15,-22,-1020,0
18738,-17,-22,-1020,0
18779,-17,-21,-1019,0
18820,-15,-23,-1020,0
18861,-16,-21,-1020,0
18902,-16,-22,-1020,0
18943,-16,-22,-1020,0
18984,-16,-22,-1020,0
19025,-15,-21,-1020,0
19066,-16,-22,-1021,0
19107,-16,-21,-1020,0
19148,-14,-22,-1020,0
19189,-16,-22,-1021,0
19230,-15,-22,-1020,0
19271,-15,-21,-1020,0
19312,-16,-22,-1021,0
19353,-15,-21,-1019,0
19394,-16,-20,-1021,0
19435,-16,-21,-1020,0
19476,-16,-22,-1020,0
19517,-16,-22,-1020,0
19558,-16,-21,-1021,0
19599,-16,-21,-1020,0
19640,-16,-21,-1020,0
19681,-15,-21,-1020,0
19722,-16,-22,-1020,0
19763,-16,-22,-1020,0
19804,-16,-22,-1021,0
19845,-15,-22,-1021,0
19886,-16,-21,-1020,0
19927,-15,-21,-1020,0
